# ============================================================================
# Kr-85 (Krypton-85) Atmospheric Recharge Chronicle
# ============================================================================
#
# Tracer: Kr-85
# Isotope: 85Kr
# CAS Number: 14993-10-3
# Unit: pptv (parts per trillion by volume)
#
# Data Source: Simplified annual PyAges input function based on published Northern Hemisphere atmospheric 85Kr measurements
# Primary references: Ahlswede et al. (2013); Bollhöfer et al. (2019)
# Open reference dataset: Kersting et al. (2020), Atmospheric krypton-85 activity concentrations, Mendeley Data, Version 1
# Dataset DOI: https://doi.org/10.17632/p32bmw6rgs.1 (CC BY 4.0)
#
# Temporal Coverage: 1950.0 - 2010.0
# Temporal Resolution: 1 year
# Number of Records: 61
#
# Notes:
# - Radioactive noble gas produced by nuclear fission
# - Half-life: 10.76 years
# - Main sources: nuclear fuel reprocessing and weapons testing
# - Atmospheric concentrations have been increasing since the 1950s
# - Used as a dating tracer for young groundwater (< 50 years)
# - The values below form a simplified project input curve; they are not claimed
#   to reproduce the open Mendeley dataset record-for-record
#
# Interpolation Method: Linear interpolation recommended
# Extrapolation: Not recommended beyond data range
#
# File Format: CSV (Comma-Separated Values)
# Encoding: UTF-8
# Last Updated: 2024-01-18
# Data Version: v2024.1
#
# Column Descriptions:
#   date: Decimal year
#   concentration: Atmospheric activity in pptv
#
# Contact: https://github.com/dreuzy/PyAges/discussions
# ============================================================================
date,concentration
1950.0,0.0001
1951.0,0.0001
1952.0,0.0001
1953.0,0.1
1954.0,0.3
1955.0,0.9
1956.0,1.9
1957.0,3.3
1958.0,5.2
1959.0,7.3
1960.0,9.7
1961.0,12.1
1962.0,14.6
1963.0,17
1964.0,19.2
1965.0,21.4
1966.0,23.4
1967.0,25.2
1968.0,26.8
1969.0,28.2
1970.0,29.5
1971.0,30.7
1972.0,31.6
1973.0,31.5
1974.0,33.6
1975.0,33.8
1976.0,33.8
1977.0,35.7
1978.0,38.9
1979.0,38.8
1980.0,40.6
1981.0,42.2
1982.0,43
1983.0,46.2
1984.0,50.2
1985.0,51.8
1986.0,54.1
1987.0,52.7
1988.0,56.3
1989.0,56.5
1990.0,60.3
1991.0,57.5
1992.0,61.8
1993.0,67.2
1994.0,75.6
1995.0,71
1996.0,74.9
1997.0,76.4
1998.0,81.7
1999.0,85
2000.0,85
2001.0,85
2002.0,85
2003.0,85
2004.0,85
2005.0,85
2006.0,85
2007.0,85
2008.0,85
2009.0,85
2010.0,85
